"START DATE",02/01/2023
"END DATE",12/31/2023
"ID PAYMENT",20240412135748-46
TEAM,"4G SOLUTIONS"
"PAYMENT CONFIRMATION CODE",wfwefew
"INVOICE TOTAL",324.2500

ADJUSTMENT
"TOTAL ADJUSTMENT","-350.0000 $"
DATE,DESCRIPTION,AMOUNT
"06/17/24 21:27:01",Description,-350.0000


"DATE DELIVERY","PACKAGE ID",ROUTE,"TOTAL PRICE"
"06-15-2023 10:56:00",67660813688,C01A,4.5000
"06-15-2023 10:57:00",67660827422,C01,4.5000
"06-15-2023 10:58:00",67660844679,C01E,4.5000
"02-26-2023 14:31:00",AT000040003100006822,DE3,24.7500
"03-03-2023 10:32:00",AT000040003100009093,,24.7500
"03-03-2023 10:33:00",AT000040003100009458,,24.7500
"03-03-2023 10:34:00",AT000040003100009758,,24.7500
"05-31-2023 21:45:00",AT000040003100939190,V11,24.7500
"05-31-2023 21:48:00",AT000040003100939331,V11,24.7500
"05-31-2023 21:51:00",AT000040003100939370,V11,24.7500
"06-01-2023 05:58:00",AT000040003100939376,V11,24.7500
"06-01-2023 06:02:00",AT000040003100939404,V11,24.7500
"06-01-2023 06:28:00",AT000040003100939412,V11,24.7500
"05-31-2023 06:26:00",AT000040003100939421,V11,24.7500
"06-01-2023 06:26:00",AT000040003100939494,V11,24.7500
"06-01-2023 06:30:00",AT000040003100939495,V11,24.7500
"06-01-2023 07:20:00",AT000040003100939652,V11,24.7500
"06-01-2023 07:22:00",AT000040003100939653,V11,24.7500
"06-01-2023 07:27:00",AT000040003100939698,V11,24.7500
"06-01-2023 07:29:00",AT000040003100939702,V11,24.7500
"06-01-2023 07:30:00",AT000040003100939722,V11,24.7500
"06-01-2023 07:31:00",AT000040003100939726,V11,24.7500
"06-01-2023 07:32:00",AT000040003100939730,V11,24.7500
"06-01-2023 07:32:00",AT000040003100939738,V11,24.7500
"06-01-2023 07:32:00",AT000040003100939746,V11,24.7500
"06-01-2023 07:34:00",AT000040003100939871,V11,24.7500
"05-31-2023 20:46:00",AT000240001101617840,U02,24.7500
"02-15-2023 14:32:00",EV1885898,P13,2.7500
"02-27-2023 14:26:00",EV1890976,MD3,2.7500
"02-28-2023 14:29:00",EV1891100,DE1,2.7500
"03-03-2023 10:34:00",EV1891156,MD8,2.7500
"03-03-2023 10:32:00",EV1891181,PA8,2.7500
"03-03-2023 10:33:00",EV1891393,V06,2.7500
"03-04-2023 14:30:00",EV1891676,C03,2.7500
"02-28-2023 14:28:00",EV1891733,DE3,2.7500
"02-26-2023 10:08:30",EV1891873,J2D,2.7500
"02-27-2023 14:27:00",EV1892088,MD5,2.7500
"06-19-2023 04:44:00",INLAND103773403,C03,4.5000
"05-23-2023 10:23:00",INLAND103862545,J3D,4.5000
"05-23-2023 11:55:00",INLAND103863072,J3G,4.5000
"05-31-2023 15:47:00",INLD-00-10,"PA9 2",4.5000
"02-14-2023 15:32:54",TEST_WILCM442,MD3,24.7500
,,"TOTAL DELIVERY",677.75


"DRIVERS SUMMARY",,

