DATE,COMPANY,"PACKAGE ID","PRICE FUEL","WEIGHT COMPANY","DIM WEIGHT ROUND COMPANY","PRICE WEIGHT COMPANY","PEAKE SEASON PRICE COMPANY","PRICE BASE COMPANY","SURCHARGE PERCENTAGE COMPANY","SURCHAGE PRICE COMPANY","TOTAL PRICE COMPANY"
02-28-2023,EIGHTCIG,EV1891873,$4.444,1.17,2,$7.25,$0.00,$7.25,11.25%,$0.8156,$8.0656
02-28-2023,EIGHTCIG,EV1890976,$4.444,1.61,2,$7.25,$0.00,$7.25,11.25%,$0.8156,$8.0656
02-28-2023,EIGHTCIG,EV1892088,$4.444,0.82,1,$7.25,$0.00,$7.25,11.25%,$0.8156,$8.0656
02-28-2023,EIGHTCIG,EV1891733,$4.444,3.15,4,$7.25,$0.00,$7.25,11.25%,$0.8156,$8.0656
02-28-2023,EIGHTCIG,EV1891100,$4.444,1.78,2,$7.25,$0.00,$7.25,11.25%,$0.8156,$8.0656
02-28-2023,EIGHTCIG,EV1891676,$4.444,0.60,1,$7.25,$0.00,$7.25,11.25%,$0.8156,$8.0656
03-03-2023,EIGHTCIG,EV1891181,$4.444,0.65,1,$7.25,$0.00,$7.25,11.25%,$0.8156,$8.0656
03-03-2023,EIGHTCIG,EV1891393,$4.444,1.70,2,$7.25,$0.00,$7.25,11.25%,$0.8156,$8.0656
03-03-2023,EIGHTCIG,EV1891156,$4.444,3.25,4,$7.25,$0.00,$7.25,11.25%,$0.8156,$8.0656
