"DATE and HOUR",COMPANY,TEAM,"PACKAGE ID","DIESEL PRICE","DIM WEIGHT COMPANY","DIM WEIGHT ROUND COMPANY","PRICE WEIGHT COMPANY","PEAKE SEASON PRICE COMPANY","PRICE BASE COMPANY","SURCHARGE PERCENTAGE COMPANY","SURCHAGE PRICE COMPANY","TOTAL PRICE COMPANY"
"02-28-2023 14:25:00",EIGHTCIG,"4G SOLUTIONS",EV1891873,4.444,0.00,2,7.25,0.00,7.25,11.25,0.8156,8.0656
"02-28-2023 14:26:00",EIGHTCIG,"4G SOLUTIONS",EV1890976,4.444,0.00,2,7.25,0.00,7.25,11.25,0.8156,8.0656
"02-28-2023 14:27:00",EIGHTCIG,"4G SOLUTIONS",EV1892088,4.444,0.00,1,7.25,0.00,7.25,11.25,0.8156,8.0656
"02-28-2023 14:28:00",EIGHTCIG,"4G SOLUTIONS",EV1891733,4.444,0.00,4,7.25,0.00,7.25,11.25,0.8156,8.0656
"02-28-2023 14:29:00",EIGHTCIG,"4G SOLUTIONS",EV1891100,4.444,0.00,2,7.25,0.00,7.25,11.25,0.8156,8.0656
"02-28-2023 14:30:00",EIGHTCIG,"4G SOLUTIONS",EV1891676,4.444,0.00,1,7.25,0.00,7.25,11.25,0.8156,8.0656
"03-03-2023 10:32:00",EIGHTCIG,"Brooks Courier",EV1891181,4.444,0.00,1,7.25,0.00,7.25,11.25,0.8156,8.0656
"03-03-2023 10:33:00",EIGHTCIG,"Brooks Courier",EV1891393,4.444,0.00,2,7.25,0.00,7.25,11.25,0.8156,8.0656
"03-03-2023 10:34:00",EIGHTCIG,"Brooks Courier",EV1891156,4.444,0.00,4,7.25,0.00,7.25,11.25,0.8156,8.0656
