DATE,"08/28/2023 08:29:37"
"ID CHARGE",20230811163827-10
COMPANY,"AMERICAN EAGLE"
"TOTAL DELIVERY","237.9000 $"

DATE,COMPANY,TEAM,"PACKAGE ID","PRICE FUEL","WEIGHT COMPANY","DIM WEIGHT ROUND COMPANY","PRICE WEIGHT COMPANY","PEAKE SEASON PRICE COMPANY","PRICE BASE COMPANY","SURCHARGE PERCENTAGE COMPANY","SURCHAGE PRICE COMPANY","TOTAL PRICE COMPANY"
"06-08-2023 11:46:08","AMERICAN EAGLE",,AE-08-01,3.800,1.00,1,7.00,0.00,7.00,12.00,0.8400,7.8400
"06-08-2023 11:48:08","AMERICAN EAGLE",,AE-08-04,3.800,31.00,31,7.25,0.00,7.25,12.00,0.8700,8.1200
"06-09-2023 11:50:08","AMERICAN EAGLE",,AE-08-05,3.800,41.00,41,7.25,0.00,7.25,12.00,0.8700,8.1200
"06-09-2023 11:50:08","AMERICAN EAGLE",,AE-08-08,3.800,71.00,71,10.00,0.00,10.00,12.00,1.2000,11.2000
"06-09-2023 11:50:08","AMERICAN EAGLE",,AE-08-09,3.800,81.00,81,10.00,0.00,10.00,12.00,1.2000,11.2000
"06-09-2023 12:06:08","AMERICAN EAGLE",,AE-08-10,3.800,91.00,91,10.00,0.00,10.00,12.00,1.2000,11.2000
"05-31-2023 21:45:00","AMERICAN EAGLE",,AT000040003100939190,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"05-31-2023 21:48:00","AMERICAN EAGLE",,AT000040003100939331,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"05-31-2023 21:51:00","AMERICAN EAGLE",,AT000040003100939370,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"06-01-2023 05:58:00","AMERICAN EAGLE",,AT000040003100939376,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"06-01-2023 06:02:00","AMERICAN EAGLE",,AT000040003100939404,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"06-01-2023 06:28:00","AMERICAN EAGLE",,AT000040003100939412,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"05-31-2023 06:26:00","AMERICAN EAGLE",,AT000040003100939421,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"06-01-2023 06:26:00","AMERICAN EAGLE",,AT000040003100939494,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"06-01-2023 06:30:00","AMERICAN EAGLE",,AT000040003100939495,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"06-01-2023 07:20:00","AMERICAN EAGLE",,AT000040003100939652,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"06-01-2023 07:22:00","AMERICAN EAGLE",,AT000040003100939653,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"06-01-2023 07:27:00","AMERICAN EAGLE","4G SOLUTIONS",AT000040003100939698,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"06-01-2023 07:29:00","AMERICAN EAGLE","ADIANS LLC",AT000040003100939702,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"06-01-2023 07:30:00","AMERICAN EAGLE","AQUINO TRUCKING LLC",AT000040003100939722,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"06-01-2023 07:31:00","AMERICAN EAGLE",,AT000040003100939726,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"06-01-2023 07:32:00","AMERICAN EAGLE","4G SOLUTIONS",AT000040003100939730,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"06-01-2023 07:32:00","AMERICAN EAGLE","4G SOLUTIONS",AT000040003100939738,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"06-01-2023 07:32:00","AMERICAN EAGLE","ALIVER SERVICES LLC",AT000040003100939746,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
2023-08-09,,,AT000040003100939828,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"06-01-2023 07:34:00","AMERICAN EAGLE",,AT000040003100939871,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"05-31-2023 20:46:00","AMERICAN EAGLE",,AT000240001101617840,3.860,1.50,2,7.00,0.00,7.00,12.25,0.8575,7.8575
"02-14-2023 15:32:54","AMERICAN EAGLE","4G SOLUTIONS",TEST_WILCM442,4.444,3.00,3,7.00,0.00,7.00,13.75,0.9625,7.9625
